index,pack,rarity,card_name,img_src
130/098,sv10,UR,ロケット団のミュウツーex,https://img.yuyu-tei.jp/card_image/poc/100_140/sv10/10130.jpg
131/098,sv10,UR,ロケット団のクロバットex,https://img.yuyu-tei.jp/card_image/poc/100_140/sv10/10131.jpg
132/098,sv10,UR,ジャミングタワー,https://img.yuyu-tei.jp/card_image/poc/100_140/sv10/10132.jpg
090/063,sv09a,UR,ヒビキのホウオウex,https://img.yuyu-tei.jp/card_image/poc/100_140/sv09a/10090.jpg
091/063,sv09a,UR,シロナのガブリアスex,https://img.yuyu-tei.jp/card_image/poc/100_140/sv09a/10091.jpg
092/063,sv09a,UR,ハッコウシティ,https://img.yuyu-tei.jp/card_image/poc/100_140/sv09a/10092.jpg
130/100,sv09,UR,ナンジャモのハラバリーex,https://img.yuyu-tei.jp/card_image/poc/100_140/sv09/10130.jpg
131/100,sv09,UR,Nのゾロアークex(通常版:縞模様あり),https://img.yuyu-tei.jp/card_image/poc/100_140/sv09/10131.jpg
131/100,sv09,UR,Nのゾロアークex(エラー版:縞模様なし),https://img.yuyu-tei.jp/card_image/poc/100_140/sv09/10133.jpg
132/100,sv09,UR,スパイクエネルギー,https://img.yuyu-tei.jp/card_image/poc/100_140/sv09/10132.jpg
233/187,sv08a,UR,テツノイサハex,https://img.yuyu-tei.jp/card_image/poc/100_140/sv08a/10478.jpg
234/187,sv08a,UR,オーガポンみどりのめんex,https://img.yuyu-tei.jp/card_image/poc/100_140/sv08a/10479.jpg
235/187,sv08a,UR,ウネルミナモex,https://img.yuyu-tei.jp/card_image/poc/100_140/sv08a/10480.jpg
236/187,sv08a,UR,ピカチュウex,https://img.yuyu-tei.jp/card_image/poc/100_140/sv08a/10481.jpg
237/187,sv08a,UR,テラパゴスex,https://img.yuyu-tei.jp/card_image/poc/100_140/sv08a/10482.jpg
136/106,sv08,UR,ピカチュウex,https://img.yuyu-tei.jp/card_image/poc/100_140/sv08/10136.jpg
137/106,sv08,UR,夜のタンカ,https://img.yuyu-tei.jp/card_image/poc/100_140/sv08/10137.jpg
138/106,sv08,UR,グラビティーマウンテン,https://img.yuyu-tei.jp/card_image/poc/100_140/sv08/10138.jpg
092/064,sv07a,UR,アローラナッシーex,https://img.yuyu-tei.jp/card_image/poc/100_140/sv07a/10092.jpg
093/064,sv07a,UR,カウンターゲイン,https://img.yuyu-tei.jp/card_image/poc/100_140/sv07a/10093.jpg
094/064,sv07a,UR,ジェットエネルギー,https://img.yuyu-tei.jp/card_image/poc/100_140/sv07a/10094.jpg
133/102,sv07,UR,テラパゴスex,https://img.yuyu-tei.jp/card_image/poc/100_140/sv07/10133.jpg
134/102,sv07,UR,勇気のおまもり,https://img.yuyu-tei.jp/card_image/poc/100_140/sv07/10134.jpg
135/102,sv07,UR,ゼロの大空洞,https://img.yuyu-tei.jp/card_image/poc/100_140/sv07/10135.jpg
092/064,sv06a,UR,モモワロウex,https://img.yuyu-tei.jp/card_image/poc/100_140/sv06a/10092.jpg
093/064,sv06a,UR,大地の器,https://img.yuyu-tei.jp/card_image/poc/100_140/sv06a/10093.jpg
094/064,sv06a,UR,力の砂時計,https://img.yuyu-tei.jp/card_image/poc/100_140/sv06a/10094.jpg
131/101,sv06,UR,オーガポンみどりのめんex,https://img.yuyu-tei.jp/card_image/poc/100_140/sv06/10131.jpg
132/101,sv06,UR,改造ハンマー,https://img.yuyu-tei.jp/card_image/poc/100_140/sv06/10132.jpg
133/101,sv06,UR,なかよしポフィン,https://img.yuyu-tei.jp/card_image/poc/100_140/sv06/10133.jpg
094/066,sv05a,UR,ガチグマアカツキex,https://img.yuyu-tei.jp/card_image/poc/100_140/sv05a/10094.jpg
095/066,sv05a,UR,緊急ボード,https://img.yuyu-tei.jp/card_image/poc/100_140/sv05a/10095.jpg
096/066,sv05a,UR,ルミナスエネルギー,https://img.yuyu-tei.jp/card_image/poc/100_140/sv05a/10096.jpg
098/071,sv05k,UR,ウガツホムラex,https://img.yuyu-tei.jp/card_image/poc/100_140/sv05k/10098.jpg
099/071,sv05k,UR,ウネルミナモex,https://img.yuyu-tei.jp/card_image/poc/100_140/sv05k/10099.jpg
100/071,sv05k,UR,タケルライコex,https://img.yuyu-tei.jp/card_image/poc/100_140/sv05k/10100.jpg
098/071,sv05m,UR,テツノイサハex,https://img.yuyu-tei.jp/card_image/poc/100_140/sv05m/10098.jpg
099/071,sv05m,UR,テツノカシラex,https://img.yuyu-tei.jp/card_image/poc/100_140/sv05m/10099.jpg
100/071,sv05m,UR,テツノイワオex,https://img.yuyu-tei.jp/card_image/poc/100_140/sv05m/10100.jpg
355/190,sv04a,UR,チオンジェンex,https://img.yuyu-tei.jp/card_image/poc/100_140/sv04a/10479.jpg
356/190,sv04a,UR,イーユイex,https://img.yuyu-tei.jp/card_image/poc/100_140/sv04a/10480.jpg
357/190,sv04a,UR,パオジアンex,https://img.yuyu-tei.jp/card_image/poc/100_140/sv04a/10481.jpg
358/190,sv04a,UR,ミライドンex,https://img.yuyu-tei.jp/card_image/poc/100_140/sv04a/10482.jpg
359/190,sv04a,UR,ディンルーex,https://img.yuyu-tei.jp/card_image/poc/100_140/sv04a/10483.jpg
360/190,sv04a,UR,コライドンex,https://img.yuyu-tei.jp/card_image/poc/100_140/sv04a/10484.jpg
093/066,sv04k,UR,トドロクツキex,https://img.yuyu-tei.jp/card_image/poc/100_140/sv04k/10093.jpg
094/066,sv04k,UR,ゴージャスマント,https://img.yuyu-tei.jp/card_image/poc/100_140/sv04k/10094.jpg
095/066,sv04k,UR,基本悪エネルギー,https://img.yuyu-tei.jp/card_image/poc/100_140/sv04k/10095.jpg
093/066,sv04m,UR,テツノブジンex,https://img.yuyu-tei.jp/card_image/poc/100_140/sv04m/10093.jpg
